question,text,label
ai là cha của shark hưng,ngày 243 vừa qua  shark hưng đã chính thức đón người đẹp thu trang về dinh trước sự chứng kiến của người thân cùng bạn bè hai bên ,0
cầu thủ giành được danh hiệu chiếc giày vàng châu âu 2007,đội atletico hôm chủ nhật đã khẳng định tiền đạo diego forlan của họ chắc chắn sẽ giành được danh hiệu chiếc giày vàng châu âu  đối thủ cạnh tranh đáng ngại nhất  tiền đạo marc janko chơi tại red bull salzburg  áo   không còn cơ hội đuổi kịp sau khi tịt ngòi trong trận thua altach 14 cuối tuần qua ,0
cầu thủ giành được danh hiệu chiếc giày vàng châu âu 2007,totti có được danh hiệu chiếc giày vàng châu âu ở mùa 200607 với 26 bàn thắng  đây là lần duy nhất hoàng tử thành rome nhận được danh hiệu cá nhân danh giá này ,1
cầu thủ giành được danh hiệu chiếc giày vàng châu âu 2007,ronaldo cũng đã 4 lần giành danh hiệu chiếc giày vàng châu âu vào các mùa 200708  201011  201314 và 20 141 5 ,1
cầu thủ giành được danh hiệu chiếc giày vàng châu âu 2007,sau danh hiệu chiếc giày vàng châu âu vừa giành được  messi đã có 4 lần nhận dnah hiệu này vào các mùa 200910  201112 và 20 121 3 ,0
cầu thủ giành được danh hiệu chiếc giày vàng châu âu 2007,ndđt  ngôi sao người argentina lionel messi vừa được trao danh hiệu chiếc giày vàng châu âu lần thứ 5  chính thức trở thành người sở hữu nhiều nhất giải thưởng dành cho cầu thủ ghi bàn hàng đầu châu âu ,0
tổng thống nào của hoa kỳ đã phát động chiến tranh iraq,năm 2008  sự mất ủng hộ của tổng thống bush và chiến tranh iraq cùng với cuộc khủng hoảng tài chính 2008 đã dẫn đến sự kiện đắc cử tổng thống của barack obama  tổng thống người mỹ gốc châu phi đầu tiên của hoa kỳ   173 ,0
tổng thống nào của hoa kỳ đã phát động chiến tranh iraq,mười năm về trước  lực lượng đa quốc gia do mỹ đứng đầu bất ngờ ném bom iraq rồi cho lục quân vượt biên giới xâm lược nước này và lật đổ chế độ của tổng thống saddam hussein  cuộc chiến iraq năm đó còn được gọi là chiến tranh vùng vịnh lần 2  do tổng thống bush con phát động  để phân biệt với chiến tranh vùng vịnh lần 1 diễn ra năm 1991  dưới sự lãnh đạo của tổng thống bush cha  ,0
tổng thống nào của hoa kỳ đã phát động chiến tranh iraq,khi ấy mỹ một mực khẳng định rằng iraq vẫn đang sở hữu và phát triển vũ khí huỷ diệt hàng loạt  gồm vũ khí hạt nhân  hoá học và sinh học   đồng thời có liên hệ với tổ chức khủng bố alqaeda  tất nhiên mỹ và cả liên hợp quốc đã không thể tìm thấy bằng chứng cho điều này ngay trước cuộc chiến  dù không nhận được nghị quyết phê chuẩn của liên hợp quốc  do thiếu chứng cứ  và bị thế giới phản đối  tổng thống mỹ george w bush vẫn phát động chiến tranh xâm lược iraq dựa trên các cáo buộc của mình ,1
tổng thống nào của hoa kỳ đã phát động chiến tranh iraq,tổng tống mỹ đời thứ 43 george w bush được xem là người tiên phong cho cuộc chiến xâm lược iraq  khi nước mỹ còn đang hừng hực căm hờn sau vụ khủng bố ngày 1192001  sở hữu vũ khí huỷ diệt hàng loạt là cái cớ không thể hoàn hảo hơn để phát động cuộc chiến nhằm vào chính quyền saddam hussein  ngày 2032003  chiến hạm mỹ khai hoả  chính thức phát động cuộc chiến tranh xâm lược iraq ,1
tổng thống nào của hoa kỳ đã phát động chiến tranh iraq,ngày 152003  đích thân tổng thống george w bush đã tới thăm tàu sân bay uss abraham lincoln tại vùng biển quốc tế ngoài khơi iraq  chỉ hơn một tháng kể từ ngày phát động cuộc chiến  hầu hết các mục tiêu lớn nằm trên lãnh thổ iraq đều đã bị san phẳng  khiến chính phủ saddam hussein hoàn toàn thất thế ,0
ai là người kế nhiệm hồ chí minh,chủ tịch tôn đức thắng  người kế nhiệm chủ tịch hồ chí minh,1
ai là người kế nhiệm hồ chí minh,còn nhớ kỳ họp thứ hai quốc hội khoá i ở hà nội  trong phiên họp ngày 8111946  khi chủ tịch chính phủ lâm thời hồ chí minh nói lời từ chức  để quốc hội lựa chọn người đứng ra thành lập chính phủ mới  lập tức đại biểu nam bộ tôn đức thắng đứng lên phát biểu giới thiệu cụ hồ chí minh  là người xứng đáng hơn ai hết  đứng ra thành lập chính phủ mới   việc làm của đại biểu nam bộ tôn đức thắng đã chặn đứng âm mưu của phái hữu muốn tiếm chiếm vị trí người cầm cương vận mệnh tổ quốc lúc lâm nguy ,0
ai là người kế nhiệm hồ chí minh,chủ tịch hồ chí minh từ năm đầu làm chủ tịch nước đã tuyên bố  tôi chỉ có một sự ham muốn  ham muốn tột bậc  là làm sao cho nước ta được hoàn toàn độc lập  dân ta được hoàn toàn tự do  đồng bào ai cũng có cơm ăn áo mặc  ai cũng được học hành   kế nhiệm vị trí quyền lực lãnh tụ tối cao của quốc gia  chủ tịch tôn đức thắng cũng chỉ  thích vị trí một đảng viên cộng sản như mọi đảng viên  thích vị trí công dân trung thực  lương thiện  cố mang điều tốt  cố mang niềm vui  cố giảm nỗi đau cho đồng bào  ,0
ai là người kế nhiệm hồ chí minh,nhưng nói về tri thức và sự nghiệp cách mạng thì chắc chắn lớp chúng ta cũng như lớp trước chúng ta không ai bì kịp  tôi đã vào loại sáng nhưng cụ hồ lại sáng hơn tôi nhiều  cụ hồ rất vì đại nghĩa  là một tay cao cờ  dưới lại có đội ngũ những người giúp việc tài năng  thông minh lắm  giỏi giang lắm  tin tưởng lắm  nhất định sẽ đưa dân tộc ta đến toàn thắng   202  năm 1947  trước lúc qua đời  huỳnh thúc kháng tin tưởng rằng hồ chí minh sẽ dẫn dắt dân tộc việt nam đi đến kháng chiến thắng lợi   tôi tiếc không được gặp cụ hồ lần cuối ,0
ai là người kế nhiệm hồ chí minh,giới phân tích và nghiên cứu những ngày này đưa ra những dự đoán khác nhau về người sẽ kế nhiệm ông quang  ba uỷ viên bộ chính trị được xem là ứng cử viên sáng giá gồm có ông trần quốc vượng  thường trực ban bí thư  bà tòng thị phóng  phó chủ tịch thường trực quốc hội  và ông nguyễn thiện nhân  bí thư thành uỷ thành phố hồ chí minh ,0
chồng của huyền baby là ai,lấy được người chồng giàu có và hết mực yêu thương  huyền baby rời khỏi showbiz để tập trung cho gia đình  thời gian đầu  ngọc huyền có cuộc sống như nữ hoàng  tiêu tiền không phải nghĩ  tuy nhiên  không lâu sau đó  cô nàng quyết định kinh doanh bởi gia đình bên chồng  ai cũng có sự nghiệp thành đạt ,0
chồng của huyền baby là ai,chân dung người chồng đại gia biến huyền baby từ hotgirl thành  bà hoàng ,0
chồng của huyền baby là ai,chuyện đời tư của huyền baby và chồng khá kín kẽ  những hình ảnh hạnh phúc của cô và ông xã cũng không được chia sẻ quá nhiều trên trang cá nhân  nhưng chỉ với một số bức ảnh mà cô nàng từng chia sẻ cũng đủ khiến giới trẻ ghen tị trước tình cảm yêu chiều mà quang huy dành cho bà xã ,1
chồng của huyền baby là ai,chồng huyền baby cũng là một người khá yêu chiều vợ  anh thường xuyên đưa vợ đi du lịch và mua sắm ở nước ngoài ,0
chồng của huyền baby là ai,thời đó  người ta thường biết đến hoàng thuỳ linh  thanh vân hugo  mi vân  tâm tít hay huyền baby  emily  hạnh sino  hương baby  trải qua thời gian  đến hiện tại hầu như ai cũng đều đi con đường riêng của mình nhưng có một tình bạn cũng đã kéo dài đúng 10 năm của một số trong những cô gái nói trên khiến nhiều người không khỏi ngưỡng mộ  và đó chính là hội bạn thân của huyền baby  hương baby  emily và hạnh sino ,0
chồng của huyền baby là ai,huyền baby diện bodysuit gần 14 triệu khi đi du lịch cùng chồng ở maldives  thế nhưng phát hiện thú vị hơn là trước đó hà hồ cũng từng mặc thiết kế y chang ,0
chồng của huyền baby là ai,năm 2013  huyền baby bất ngờ theo chồng bỏ cuộc chơi  tổ chức lễ cưới cực hoành tráng nhưng kín đáo với doanh nhân thành đạt quang huy  người sở hữu chuỗi khách sạn 2  4 sao nổi tiếng tại sài gòn ,1
chồng của huyền baby là ai,để ủng hộ vợ theo con đường kinh doanh mỹ phẩm  ông xã quang huy mạnh tay đầu tư để huyền baby sang hàn quốc nghiên cứu về thị trường sản phẩm làm trắng da  khoảng thời gian này  chồng và con gái củ cải liên tục ở bên cạnh  động viên cô ,1
chồng của huyền baby là ai,chồng đại gia của huyền baby là doanh nhân quang huy  chủ nhân của chuỗi khách sạn 2  4 sao ở tp hcm  bên cạnh đó  gia đình quang huy còn có một nhà máy sản xuất mỹ phẩm khá lớn tại hàn quốc  cơ sở này phục vụ đắc lực cho việc kinh doanh của huyền baby ,1
chồng của huyền baby là ai,chồng cô là quang huy  một doanh nhân thành đạt  sở hữu trong tay chuỗi khách sạn nổi tiếng tại sài gòn  đây là một trong những tập đoàn lớn  sở hữu khoảng 11 khách sạn từ 2  4 sao rải rác ở cả hà nội và sài gòn  khách sạn bên nhà chồng huyền baby đều nằm tại những con phố lớn  đắt đỏ của thành phố ,0
tác phẩm tây du ký được viết bởi ai,tây du ký được ngô thừa ân hoàn thành khi ông đã ngoài 70 tuổi  ngoài tây du ký  ngô thừa ân còn viết vũ đỉnh chí  đây cũng là một bộ truyện chí quái  và nhiều tác phẩm văn thơ khác  về sau này các truyện của ngô thừa ân viết được tập hợp lại thành xạ dương tiên sinh tồn cảo  gồm bốn quyển   nhưng cho đến ngày nay các bộ sách đó đã bị thất lạc  và tác phẩm còn lại duy nhất của ngô thừa ân là bộ tây du ký ,1
tác phẩm tây du ký được viết bởi ai,trong tây du ký  năm vị gồm bốn thầy trò đường tăng cùng với bạch long mã  thật ra chỉ là một người  trong truyện cũng nhiều lần ám chỉ về điều này  đoạn cuối cùng của tác phẩm khi viết đến  ngũ thánh thành chân  có một bài thơ nói rõ hơn ý tứ đó  trong đó bốn câu mở đầu là ,0
tác phẩm tây du ký được viết bởi ai, tây du ký  được ngô thừa ân viết vào giữa thời kỳ nhà minh trong thế kỷ 16  tác phẩm kể về hành trình của bốn thầy trò đường tăng sang tây thiên thỉnh cầu phật pháp ,1
tác phẩm tây du ký được viết bởi ai,tây du ký  tác phẩm bất hủ của ngô thừa ân,1
tác phẩm tây du ký được viết bởi ai,tây du ký    là một trong những tác phẩm kinh điển trong văn học trung hoa  được xuất bản với tác giả giấu tên trong những năm 1590 và không có bằng chứng trực tiếp còn tồn tại để biết tác giả của nó  nhưng tác phẩm này thường được cho là của học giả ngô thừa ân      tiểu thuyết thuật lại chuyến đi đến ấn độ của nhà sư huyền trang để lấy kinh ,0
ai là người phát minh ra dấu bằng ,ở đầu thế kỷ xx m fréchet  người pháp  và f riesz  người hungari đã định nghĩa lần lượt các khái niệm ìmetric  và ìtopo   cuối cung  khoảng năm 1940  định nghĩa các ìbộ lọc  của nhà toán học pháp h cartan đã kết thúc lịch sử khái niêm giới hạn  h poincaré  18541912   người anh em họ của tổng thống pháp r poincaré  được coi như người phát minh ra topo đại số và topo vi phân ,0
ai là người phát minh ra dấu bằng ,tiếp tục nghiên cứu  ông nhận ra rằng vật thể có bị xuyên thấu bằng tia xquang và ông đã dùng một tấm kẽm chụp ảnh để chụp lại bàn tay của vợ mình  bà frau rontgen  ghi dấu bức ảnh chụp xquang đầu tiên trên thế giới  năm 1901  rontgen đã nhận giải thưởng nobel về vật lý cho phát minh này ,0
ai là người phát minh ra dấu bằng ,người babilon và ai cập đã từng dùng các kí hiệu khác nhau để biểu diễn sự bằng nhau  còn dấu    được sử dụng sớm nhất trong tác phẩm  hòn đá mài trí tuệ  của reked ,0
ai là người phát minh ra dấu bằng ,johannes gutenberg  khoảng năm 1389  3 tháng 2 năm 1468   là một công nhân đồng thời là một nhà phát minh người đức  ông trở nên nổi tiếng vì phát minh ra phương pháp in dấu vào năm những năm 1450 ,0
ai là người phát minh ra dấu bằng ,đối với phép chia  người hindu thể hiện bằng cách viết số chia dưới số bị chia  nhà toán học mohammed ibn musa al  khowarizmi  khoảng 780  khoảng 850  người uzbekistan  đã dùng để chỉ 34 đến năm 1630  john pell  1610  1685  người anh đã dùng dấu    và sau đó năm 1659 johann heirich rahn  1622  1676  người thuỵ sĩ  năm 1684 gw  leibnizt cũng dùng dấu    để chỉ phép chia ,0
chủ tịch tập đoàn mai linh,chủ tịch tập đoàn mai linh  doanh nhân hồ huy  vẫn luôn nặng một chữ tình,1
chủ tịch tập đoàn mai linh,chủ tịch tập đoàn mai linh  doanh nhân hồ huy đến với đồng bào vùng lũ sau cơn đại hồng thuỷ,1
chủ tịch tập đoàn mai linh,tại buổi lễ  ông hồ huy  chủ tịch hđqt  chủ tịch tập đoàn mai linh đã ghi nhận sự trưởng thành của các chi nhánh  cũng như đánh giá cao những nỗ lực của các đơn vị này trong thời gian vừa qua  chủ tịch hđqt hồ huy cũng mong muốn các đơn vị sẽ nỗ lực hơn nữa để mang lại hiệu quả trong hoạt động kinh doanh cũng như mang lại sự hài lòng đến cho khách hàng ,1
chủ tịch tập đoàn mai linh,chủ tịch tập đoàn mai linh  doanh nhân hồ huy lội nước cứu trọ đồng bào lũ lụt miền trung,1
chủ tịch tập đoàn mai linh,cũng xác nhận hoàn tất mua sim  ông thái minh phương cho biết  đây là sim số thứ hai ông mua với giá gần triệu usd  19 tỷ đồng  trong năm nay   siêu sim  này được sang tay khá nhiều người  từ ông hồ huy  chủ tịch tập đoàn mai linh  sau đó là lần đấu giá có sự tham gia của người mẫu ngọc trinh vào năm 2017 ,1
chủ tịch tập đoàn mai linh, vì đam mê sim số  đặc biệt là những sim có nhiều số 9 nên tôi quyết định theo đuổi số này trong thời gian dài  tôi không quan tâm sim số 0989999999 trước đây có scandal gì vì chính tay tôi đã mua từ ông hồ huy  chủ tịch tập đoàn mai linh   nhưng thời điểm đó tôi không thể giữ nó với nhiều lý do cá nhân nên khi có cơ hội sở hữu tôi nắm giữ ngay   ông phương nói và cho biết  hiện trong kho hàng của ông có tới 10000 sim số đẹp nhưng đây là sim thứ 2 có giá trị cao nhất cùng với số 0909999999 đã được mua trước đó ,1
chủ tịch tập đoàn mai linh,trả lời zing vn  ông hồ huy  chủ tịch hđqt tập đoàn mai linh  nói rằng việc làm xe ôm công nghệ được hãng chuẩn bị trong 2 năm  điều này thể hiện doanh nghiệp việt không hề chịu thua trên sân nhà  cũng không phải đi sau  làm theo ,1
chủ tịch tập đoàn mai linh,liên quan đến vụ tài xế taxi mai linh trốn csgt gây náo loạn phố hà nội  chiều 268  chủ tịch tập đoàn mai linh hồ huy cho biết  qua tìm hiểu lý lịch của lái ,1
chủ tịch tập đoàn mai linh,mln  ctcp tập đoàn mai linh đăng ký mua 5853006 cp,0
chủ tịch tập đoàn mai linh,mai linh miền bắc của ông hồ huy đen đủi khi ngày ra mắt đã giảm sàn khiến đại gia và tập đoàn mai linh mất bay trăm tỷ  dòng tiền đổ mạnh vào các cổ phiếu trụ cột và một số cổ phiếu nóng đã giúp thị trường sôi động trở lại  các cổ phiếu bất động sản và xây dựng của ông trịnh văn quyết tăng vọt  trong khi đó ông ngô chí dũng gặp may với chính sách mới ,0
nhà văn nào có biệt hiệu là hồng lâu ngoại sĩ,cao ngạc  giản thể    phồn thể    bính âm  gāo è   khoảng 1738  1815   tự là lan thự  cũng tự là vân sĩ  biệt hiệu là hồng lâu ngoại sĩ  người ở ngoài lầu hồng   ông là người trong tương hoàng kỳ nội vụ phủ  thời kỳ nhà thanh  người tộc mãn  được cho là đã viết tiếp 40 hồi cuối của thạch đầu ký và đổi tên tác phẩm này thành hồng lâu mộng ,1
nhà văn nào có biệt hiệu là hồng lâu ngoại sĩ,trong thời điểm lịch sử bấy giờ  tác giả không cách nào khác lý giải sự diệt vong của chế độ phong kiến là ngẫu nhiên của vận hành vũ trụ  một mặt nhà văn vẫn xuất phát từ hiện thực để miêu tả  lý giải những vấn đề xã hội chân thực và xác đáng nhất  hồng lâu mộng đã  phá vỡ tư tưởng và cách viết truyền thống    lỗ tấn  ,0
nhà văn nào có biệt hiệu là hồng lâu ngoại sĩ,hồng lâu mộng đã  phá vỡ tư tưởng và cách viết truyền thống    lỗ tấn   các nhà nghiên cứu xô viết cũng đánh giá rất cao tư tưởng của nhà văn   ở đâu tào tuyết cần cũng tỏ ra là một người tiên tiến đứng cao hơn trình độ chung của ý thức hệ thời đại   dẫn theo 3  ,0
nhà văn nào có biệt hiệu là hồng lâu ngoại sĩ,40 chương sau của hồng lâu mộng được cao ngạc viết tiếp không hay như 80 chương đầu vì ông không có được cái trải nghiệm đau đớn như tào tuyết cần  nhưng với 40 chương mang đến cho tác phẩm sự trọn vẹn  cho thấy họ cao cũng là người đã sống với tác phẩm và đã nghiên cứu rất kĩ về văn phong của tác giả  có lẽ ngoài cao ngạc không còn người nào viết tiếp hồng lâu mộng hay hơn ông ,0
nhà văn nào có biệt hiệu là hồng lâu ngoại sĩ,những nhân vật đó sống động  có máu thịt  có cá tính rõ nét  có một số nhân vật nhà văn chỉ phác hoạ sơ qua vài nét cũng để lại ấn tượng rất sâu sắc cho người đọc  đáng chú ý là  trong hồng lâu mộng  tào tuyết cần miêu tả nhiều nhất là phụ nữ  mà chủ yếu lại là những thiếu nữ giống nhau hoặc na ná như nhau về độ tuổi  hoàn cảnh sống  cách sống ,0
tổng giám đốc công ty thái sơn bộ quốc phòng,sáng 3010  toà án quân sự trung ương mở phiên phúc thẩm theo đơn kháng cáo xin giảm nhẹ hình phạt của đinh ngọc hệ  tức út  trọc   47 tuổi  nguyên phó tổng giám đốc tổng công ty thái sơn   phùng danh thắm  nguyên chủ tịch hđqt kiêm tổng giám đốc tổng công ty thái sơn bộ quốc phòng  và trần văn lâm  41 tuổi  nguyên tổng giám đốc công ty thái sơn  ,1
tổng giám đốc công ty thái sơn bộ quốc phòng,đồng thời  cơ quan chức năng đã khởi tố vụ án  khởi tố bị can đối với đại tá phùng danh thắm  tổng giám đốc tổng công ty thái sơn bộ quốc phòng về tội  thiếu trách nhiệm gây hậu quả nghiêm trọng  quy định tại điều 360 bộ luật hình sự năm 2015 ,1
tổng giám đốc công ty thái sơn bộ quốc phòng,mở rộng điều tra vụ án tại tổng công ty thái sơn bộ quốc phòng liên quan đến út trọc,0
tổng giám đốc công ty thái sơn bộ quốc phòng,công ty thái sơn  bộ quốc phòng liên quan gì đến đại tá phùng danh thắm ,0
tổng giám đốc công ty thái sơn bộ quốc phòng,mở rộng điều tra vụ án  cơ quan điều tra đã khởi tố bị can  bắt tạm giam đối với ông trần xuân sơn  trú tại khu phố 6  thị trấn diêm điền  huyện thái thuỵ  tỉnh thái bình  là người được đinh ngọc hệ thuê làm giám đốc chi nhánh công ty cổ phần phát triển đầu tư thái sơn  bộ quốc phòng  tại bình dương  ông trần văn lâm  trú tại 18  b 518 chung cư huỳnh văn chính  phường phú trung  quận tân phú  tphcm   là người được đinh ngọc hệ thuê làm tổng giám đốc điều hành công ty cổ phần phát triển đầu tư thái sơn  bộ quốc phòng  khởi tố bị can và ra lệnh cấm đi khỏi nơi cư trú đối với đại tá bùi văn tiệp  nguyên sư đoàn trưởng sư đoàn 367  quân chủng phòng khôngkhông quân ,0
tổng giám đốc công ty thái sơn bộ quốc phòng,đại tá phùng danh thắm vừa bị khởi tố sinh năm 1966  ông phùng danh thắm là tổng giám đốc tổng công ty thái sơn  bộ quốc phòng ,1
tổng giám đốc công ty thái sơn bộ quốc phòng,cáo trạng xác định  biết tổng công ty thái sơn  bộ quốc phòng có chủ trương mở rộng thị trường  phát triển kinh doanh  tháng 72009 ông đinh ngọc hệ  phó phòng kinh doanh  đã đề xuất thành lập pháp nhân mới  công ty cổ phần theo mô hình công ty mẹ  con ,0
tổng giám đốc công ty thái sơn bộ quốc phòng,cơ quan chức năng bộ quốc phòng đã khởi tố vụ án  khởi tố bị can đối với đại tá phùng danh thắm  tổng giám đốc tổng công ty thái sơn ,0
tổng giám đốc công ty thái sơn bộ quốc phòng,sáng nay trong ngày khai mạc phiên toà  toà án quân sự quân khu 7 thẩm vấn bị cáo đinh ngọc hệ  cựu thượng tá  cựu phó tổng giám đốc tổng công ty thái sơn  bộ quốc phòng  và các đồng phạm về việc đăng ký biển số xe quân sự  biển xanh để trục lợi và hành vi làm giả hợp đồng gửi xăng kém chất lượng ,0
tổng giám đốc công ty thái sơn bộ quốc phòng,theo cổng thông tin bộ quốc phòng  ngày 3122017  cơ quan điều tra hình sự  bộ quốc phòng đã ra quyết định khởi tố vụ án  khởi tố bị can  bắt tạm giam đối với đinh ngọc hệ  nguyên phó tổng giám đốc tổng công ty thái sơn  bộ quốc phòng về tội  lợi dụng chức vụ  quyền hạn trong khi thi hành công vụ  theo khoản 3  điều 281 bộ luật hình sự năm 1999 ,0
tên khai sinh thời nhỏ của bác hồ là gì,tên khai sinh thời nhỏ của bác hồ là gì ,0
tên khai sinh thời nhỏ của bác hồ là gì,tên khai sinh của bác hồ lúc nhỏ là  nguyễn sinh cung ,1
tên khai sinh thời nhỏ của bác hồ là gì, 17  tuy nhiên  một số tài liệu ghi nhận tên lúc nhỏ của ông là nguyễn sinh côn   18   19   20   21   22  điều này cũng được chính ông xác nhận bằng chính bút tích của mình trong một bài viết năm 1954   23  quê nội ông là làng kim liên  tên nôm là làng sen  ,0
tên khai sinh thời nhỏ của bác hồ là gì,chủ tịch hồ chí minh  lúc nhỏ tên là nguyễn sinh cung khi đi học là nguyễn tất thành  trong nhiều năm hoạt đông cách mạng lấy tên là nguyễn ái quốc và nhiều bí danh  bút danh khác  sinh ngày 19 tháng 5 năm 1890 ở kim liêm huyện nam đàn  tình nghệ an  mất ngày 2 tháng 9 năm 1969 tại hà nội ,1
tên khai sinh thời nhỏ của bác hồ là gì,nguồn  những mẩu chuyện nhỏ về bác hồ và ba tôi  sggp  2042008,0
anh đức là bút danh của ai,riêng chàng trai bùi đức ái  cũng gắn với bạn mình lê anh xuân bằng bút danh anh đức  bút danh anh đức có từ tình cảm bạn bè  đồng chí  do gộp từ hai chữ lót anh trong lê anh xuân và tên thật bùi đức ái mà thành anh đức ,1
anh đức là bút danh của ai,bút danh lê anh xuân do ông lấy chữ lót tên của mình cộng với chữ lót tên người yêu và chữ đầu bút danh của một người bạn thân  nhà văn anh đức và bùi xuân lan  đặc biệt  bùi xuân lan là em của nhà văn anh đức  nên bút danh lê anh xuân càng thêm nghĩa tình khắn khít  ca lê hiến đã từ giã người yêu  từ giã tình riêng một cách nhẹ nhàng  để vào nam chống mỹ vì một mối tình lớn lao hơn  tình non nước  để trước ngày ông mất có bài thơ,0
anh đức là bút danh của ai,năm 1954  anh đức tập kết ra bắc  trong những năm đầu ở miền bắc  ông vẫn lấy bút danh bùi đức ái cho các tác phẩm của mình  thời gian này ông được gặp và tiếp xúc với nhiều nhà văn lớn tại hà nội ,0
anh đức là bút danh của ai,nhà văn anh đức  551935  2182014  có hai giai đoạn sáng tác  lấy cột mốc năm 1962  khi ông từ miền bắc quay vào căn cứ trung ương cục miền nam  trước năm 1962  ông sáng tác với tên thật bùi đức ái  sau năm 1962  ông sáng tác với bút danh anh đức ,0
anh đức là bút danh của ai, tạc vào thế kỷ   thế nhưng  mối tình với bùi xuân lan luôn hiện diện trong tâm hồn chàng trai ca lê hiến qua bút danh lê anh xuân có dáng hình bạn mình  anh đức ,0
người đầu tiên nêu lên thuyết vũ trụ nhật tâm ,nhà thiên văn học galileo galilei là người đầu tiên phát hiện ra rằng trái đất không phải trung tâm của hệ mặt trời  nhờ vào việc quan sát vị trí của các vì sao  ông đã đưa ra thuyết nhật tâm copernicus và kiên quyết bảo vệ phát kiến này của mình trước sự phản đối của giáo hội thời đó ,1
